,distance,global_stop_id,location_type,parent_station_global_stop_id,route_type,rt_stop_id,stop_code,stop_lat,stop_lon,stop_name,wheelchair_boarding
380,15356,CATAMI:10098,0,,3,3347,3347,42.70730180642735,-84.54793759874354,Cedar / Tisdale Ave,0
381,11604,CATAMI:8689,0,,3,6080,6080,42.7276624188229,-84.42227556826512,Central Park / Mall Entrance Dr.,0
382,14996,CATAMI:9611,0,,3,6099,6099,42.71203223139204,-84.53722669354782,Mt. Hope / Alpha,0
383,13619,CATAMI:10290,0,,3,3528,3528,42.69038559091673,-84.53798212262964,Pennsylvania / Cavanaugh,0
384,14460,CATAMI:8716,0,,3,2849,2849,42.74700679923936,-84.45823039527812,Haslett / Ferndale Ave,0
385,13601,CATAMI:10225,0,,3,4376,4376,42.6898909647322,-84.53817097990009,Pennsylvania / Cavanaugh,0
386,21052,CATAMI:9956,0,,3,1834,1834,42.74491138285766,-84.59633901919977,Morris / Sylvan Ave,0
387,15566,CATAMI:10123,0,,3,3795,3795,42.72294098706156,-84.53315277242804,Holmes / Hazel St,0
388,13065,CATAMI:10114,0,,3,5673,5673,42.68498966890377,-84.5345377257447,Tranter / Rensen,0
389,19155,CATAMI:8773,0,,3,3616,3616,42.7089475626413,-84.6016809819926,Moores River / Waverly Rd,0
390,18683,CATAMI:7990,0,,3,3750,3750,42.750190393227,-84.5495024161273,Turner / Beaver St,0
391,15062,CATAMI:8904,0,,3,5636,5636,42.73005461091532,-84.51339470465726,Kalamazoo / Charles,0
392,13217,CATAMI:10287,0,,3,3525,3525,42.68327196706297,-84.53804507505312,Pennsylvania / Jolly Rd,0
393,12901,CATAMI:10138,0,,3,3371,3371,42.69454944407006,-84.52343111960137,Aurelius / Irvington Ave,0
394,20316,CATAMI:8427,0,,3,3665,3665,42.72718577904509,-84.60307492851261,Waverly / St Joseph St,0
395,17832,CATAMI:9032,0,,3,3727,3727,42.75668348604926,-84.52154254689682,Tulane / Northampton Way,0
396,17158,CATAMI:10335,0,,3,5894,5894,42.7146942195851,-84.56787553058142,MLK / Barnes,0
397,13017,CATAMI:10285,0,,3,3523,3523,42.67945884884048,-84.53809004106989,Pennsylvania / Dennis St,0
398,11324,CATAMI:8853,0,,3,5937,5937,42.69419870913921,-84.49875376959544,Collins / Technology (South Drive),0
399,11706,CATAMI:9685,0,,3,6114,6114,42.72886750807246,-84.42011719945994,Central Park / Farmer's Market,0
400,9081,CATAMI:10635,0,,3,6077,6077,42.70240051059891,-84.4324738608696,Okemos / Sower Blvd 2,0
401,14979,CATAMI:9629,0,,3,6093,6093,42.71187035373165,-84.53715474792098,Mt. Hope / Pennsylvania,0
402,18308,CATAMI:8408,0,,3,3643,3643,42.74356240235442,-84.55247916643778,Oakland / Washington Av,0
403,12561,CATAMI:10281,0,,3,3520,3520,42.67003397172452,-84.53805406825647,Pennsylvania / Miller,0
